degree, x, y, distance, frame
undef, 205.5, 201.0,19.105, 154
-79.0, 210.0, 175.0,4.899, 155
-85.0, 212.0, 151.5,5.385, 156
-85.0, 214.618, 127.603,4.243, 157
-82.0, 217.0, 106.5,4.243, 158
-85.0, 219.419, 85.797,4.899, 159
-83.0, 221.0, 68.5,4.796, 160
-83.0, 223.914, 51.5,4.359, 161
-82.0, 225.811, 36.385,4.359, 162
-82.0, 227.722, 22.811,3.0, 163
-80.0, 229.0, 11.0,4.0, 164
48.0, 517.0, 326.981,2.236, 165
undef, 517.0, 326.333,5.196, 166
undef, 517.0, 326.333,2.0, 167
180.0, 516.5, 326.321,2.0, 168
0.0, 517.282, 326.47,2.236, 169
undef, 517.0, 326.574,2.236, 170
180.0, 516.5, 326.759,2.0, 171
undef, 516.5, 326.759,2.236, 172
undef, 516.5, 327.154,2.0, 173
-45.0, 517.5, 326.5,2.236, 174
180.0, 515.5, 326.2,1.414, 175
-45.0, 516.5, 325.767,2.449, 176
undef, 516.5, 325.6,1.414, 177
0.0, 517.0, 325.4,2.0, 178
undef, 517.0, 325.4,2.236, 179
-45.0, 518.977, 324.074,2.0, 180
117.0, 517.0, 326.052,1.414, 181
-130.0, 258.408, 16.676,1.732, 182
86.0, 259.327, 30.31,7.416, 183
82.0, 261.195, 44.89,3.873, 184
87.0, 262.765, 61.585,3.464, 185
84.0, 264.038, 79.885,4.472, 186
87.0, 265.077, 98.846,4.0, 187
42.0, 516.5, 325.672,4.243, 188
45.0, 517.5, 326.574,4.899, 189
undef, 517.489, 327.184,2.0, 190
undef, 517.818, 325.636,2.236, 191
-157.0, 270.976, 220.289,1.414, 192
23.0, 516.5, 326.107,12.57, 193
undef, 516.5, 326.5,12.49, 194
135.0, 515.397, 327.853,2.0, 195
0.0, 516.44, 327.519,2.449, 196
-135.0, 515.5, 326.792,2.236, 197
0.0, 519.0, 326.7,0.0, 198
135.0, 518.0, 327.64,0.0, 199
180.0, 516.964, 327.352,2.449, 200
-27.0, 518.418, 326.886,2.449, 201
135.0, 517.5, 327.18,1.732, 202
undef, 517.258, 327.258,2.449, 203
undef, 517.0, 327.34,2.0, 204
undef, 517.567, 328.073,2.0, 205
undef, 517.5, 328.1,2.236, 206
undef, 517.214, 328.214,2.0, 207
undef, 517.214, 328.214,2.0, 208
undef, 517.0, 328.3,2.0, 209
180.0, 516.88, 328.348,2.0, 210
undef, 516.5, 328.308,2.236, 211
-72.0, 517.774, 325.732,2.0, 212
undef, 517.0, 327.865,0.0, 213
-117.0, 516.5, 325.672,1.414, 214
undef, 516.5, 326.714,1.0, 215
0.0, 517.511, 326.317,2.236, 216
undef, 517.0, 325.862,2.236, 217
0.0, 518.609, 325.252,1.0, 218
117.0, 517.0, 327.327,2.236, 219
-45.0, 518.0, 326.981,1.732, 220
undef, 518.0, 326.574,1.414, 221
180.0, 517.0, 326.574,2.0, 222
undef, 517.0, 326.944,2.236, 223
-166.0, 160.5, 240.0,2.0, 224
-77.0, 166.5, 213.0,17.464, 225
-73.0, 174.164, 187.937,4.123, 226
-74.0, 181.845, 162.5,4.243, 227
-77.0, 186.0, 141.5,5.657, 228
-73.0, 192.283, 121.651,4.243, 229
-69.0, 199.0, 103.0,3.162, 230
-72.0, 206.659, 82.829,4.796, 231
-67.0, 212.298, 68.348,4.472, 232
-65.0, 219.08, 53.553,3.464, 233
-67.0, 224.0, 41.0,3.742, 234
-63.0, 230.324, 29.324,1.732, 235
-59.0, 236.553, 19.08,1.414, 236
-56.0, 242.5, 10.95,4.0, 237
49.0, 517.0, 323.75,3.873, 238
undef, 517.5, 325.2,6.782, 239
undef, 517.5, 324.565,1.414, 240
undef, 517.0, 324.758,1.0, 241
undef, 517.0, 325.862,2.0, 242
undef, 517.316, 324.771,2.236, 243
undef, 517.5, 325.333,1.0, 244
-153.0, 515.337, 324.386,2.236, 245
undef, 515.0, 324.286,1.0, 246
72.0, 516.742, 327.04,2.0, 247
-45.0, 517.484, 326.765,1.414, 248
-135.0, 515.309, 324.384,1.414, 249
-124.0, 315.5, 25.0,0.0, 250
63.0, 320.5, 35.5,21.932, 251
67.0, 325.863, 47.629,3.873, 252
67.0, 331.598, 61.598,4.583, 253
55.0, 515.0, 326.621,2.828, 254
-127.0, 341.792, 94.787,20.905, 255
72.0, 347.348, 113.686,8.832, 256
76.0, 352.589, 133.107,4.583, 257
75.0, 358.0, 156.0,5.385, 258
77.0, 363.131, 178.281,4.123, 259
44.0, 518.0, 326.778,4.359, 260
undef, 518.569, 325.902,1.732, 261
117.0, 517.0, 327.185,1.0, 262
-45.0, 518.039, 326.11,1.732, 263
153.0, 516.945, 327.207,1.414, 264
-45.0, 517.484, 326.765,2.236, 265
undef, 517.254, 326.85,1.414, 266
undef, 517.0, 326.052,2.0, 267
180.0, 516.0, 326.466,2.0, 268
undef, 516.0, 325.862,2.236, 269
undef, 516.5, 325.672,1.0, 270
undef, 516.5, 325.672,2.0, 271
undef, 516.0, 325.862,2.0, 272
135.0, 515.0, 326.241,2.0, 273
-45.0, 516.5, 325.672,2.449, 274
-135.0, 515.5, 324.952,1.414, 275
undef, 515.5, 324.952,0.0, 276
45.0, 516.5, 325.672,2.0, 277
135.0, 515.5, 326.052,2.0, 278
-45.0, 516.5, 325.672,2.449, 279
0.0, 517.0, 325.483,1.414, 280
180.0, 516.55, 325.654,2.236, 281
undef, 516.5, 325.033,2.236, 282
undef, 516.767, 326.148,2.0, 283
180.0, 515.0, 326.879,2.236, 284
-45.0, 516.786, 325.486,2.236, 285
undef, 516.5, 325.6,1.414, 286
180.0, 515.009, 325.58,2.0, 287
undef, 515.247, 326.101,2.236, 288
-45.0, 516.5, 325.033,2.236, 289
undef, 516.5, 325.033,1.414, 290
0.0, 517.0, 325.4,2.0, 291
180.0, 515.0, 325.583,2.236, 292
undef, 515.26, 326.143,2.449, 293
undef, 515.997, 325.801,2.236, 294
135.0, 512.5, 328.611,1.0, 295
45.0, 513.284, 329.041,1.414, 296
undef, 513.0, 327.707,2.0, 297
180.0, 512.5, 327.19,1.414, 298
0.0, 513.0, 327.0,2.236, 299
-112.0, 435.682, 137.0,2.236, 300
-84.0, 437.5, 117.4,15.492, 301
70.0, 515.675, 326.402,3.742, 302
-107.0, 439.595, 83.662,12.45, 303
73.0, 515.808, 326.731,12.845, 304
-105.0, 441.805, 55.021,13.82, 305
75.0, 516.0, 327.315,17.972, 306
-104.0, 444.03, 32.182,18.735, 307
undef, 444.901, 21.459,18.894, 308
-76.0, 446.462, 13.769,2.646, 309
78.0, 514.951, 326.66,1.414, 310
0.0, 515.0, 326.643,19.416, 311
undef, 515.474, 326.474,2.236, 312
162.0, 512.523, 327.181,2.0, 313
undef, 512.497, 327.537,2.828, 314
undef, 512.497, 327.537,2.0, 315
-27.0, 514.609, 326.782,2.0, 316
-45.0, 515.009, 325.58,1.732, 317
-135.0, 514.0, 324.875,1.414, 318
undef, 514.486, 325.772,0.0, 319
undef, 514.254, 325.857,2.236, 320
undef, 514.0, 327.0,2.0, 321
-45.0, 516.023, 325.853,1.414, 322
158.0, 511.5, 327.893,2.0, 323
-53.0, 514.0, 323.667,2.646, 324
-99.0, 472.654, 57.654,1.732, 325
79.0, 475.259, 72.0,16.971, 326
81.0, 516.0, 325.145,3.464, 327
-100.0, 479.0, 105.5,17.205, 328
80.0, 516.0, 324.672,15.588, 329
-100.0, 483.661, 144.5,15.937, 330
85.0, 485.0, 166.0,11.958, 331
79.0, 515.5, 324.758,4.472, 332
135.0, 514.0, 325.29,11.314, 333
undef, 514.0, 325.95,2.449, 334
0.0, 515.265, 325.43,2.0, 335
undef, 515.0, 325.532,2.236, 336
undef, 515.5, 325.339,2.0, 337
180.0, 514.753, 325.628,2.0, 338
0.0, 515.5, 325.339,2.236, 339
undef, 515.5, 325.339,2.236, 340
180.0, 514.753, 325.628,2.0, 341
0.0, 515.5, 325.339,2.236, 342
180.0, 514.753, 325.628,2.236, 343
